H2,CH4,C2H4,C2H6,C2H2,CO,CO2,risk_score
93.91,1237.66,62.642,195.072,13.387,757.015,2085.401,79.13
655.898,192.457,69.774,19.416,73.594,332.539,2686.344,78.9
142.475,363.913,19.866,153.62,0.485,394.459,2446.869,49.82
98.377,676.063,463.176,110.682,11.5,468.879,800.071,86.07
34.0,22.0,7.0,8.0,0.1,105.0,800.0,14.27
1041.622,96.402,39.518,5.199,2.482,333.114,1854.303,36.35
176.707,359.702,74.051,219.598,3.458,564.858,4713.872,73.21
267.36,605.46,539.384,40.486,3.762,349.461,3167.575,78.04
1615.379,0.0,23.313,38.036,2.96,416.021,2514.94,31.63
571.571,70.574,389.396,46.883,68.331,263.666,2245.814,96.06
487.455,67.519,344.172,40.845,66.295,234.453,2146.152,100.0
1865.415,125.371,34.708,39.448,2.746,666.833,4161.081,35.89
409.247,119.848,158.193,54.38,43.164,348.774,2677.168,81.31
105.223,685.281,330.677,177.378,5.939,659.532,4864.339,77.31
1196.0,154.0,797.0,99.0,160.0,598.0,4990.0,99.71
129.06,799.965,485.473,229.082,6.261,789.793,5633.994,70.96
2123.927,262.041,34.428,34.364,311.504,386.928,4258.028,98.42
203.873,57.144,84.202,30.404,19.953,183.66,1398.806,74.16
312.752,109.201,145.764,87.983,93.161,255.43,1034.77,71.89
34.918,43.144,7.995,4.961,0.0,150.67,1757.065,7.35
970.609,139.044,717.685,88.823,146.985,507.151,4401.438,100.0
0.0,51.129,18.79,6.568,1.795,381.403,1902.111,3.75
734.838,100.067,488.013,62.468,98.251,373.908,3007.118,100.0
361.66,97.551,137.168,50.275,35.732,297.45,2307.287,69.8
34.021,21.562,7.479,8.754,0.188,118.757,817.398,11.65
411.854,118.125,149.937,59.524,38.161,341.549,3036.933,79.17
186.964,15.188,4.312,6.731,0.16,91.191,708.8,39.27
380.147,26.21,8.437,10.095,0.28,147.889,1056.147,28.93
77.662,51.629,18.712,6.672,0.726,320.315,1053.069,6.06
339.354,99.232,143.02,50.284,35.505,303.714,2342.148,70.22
53.739,261.713,19.33,225.553,1.535,449.998,3173.339,43.86
22.735,14.278,3.854,5.756,0.0,75.669,611.655,9.18
900.0,65.0,18.0,22.0,1.2,350.0,2200.0,39.79
59.157,308.72,25.575,244.223,1.792,428.758,3076.561,54.33
650.0,47.0,13.0,16.0,0.8,252.0,1820.0,41.96
101.973,208.821,24.762,203.672,2.344,205.935,1501.151,57.64
15.0,9.0,3.0,4.0,0.0,55.0,430.0,6.47
